data,t_max,t_min,t_mean,precip_mm,humidade_perc,radiacao_w_m2
2019-01-01,11.0,4.1,7.6,0.5,89.6,50.7
2019-01-02,9.8,-2.7,3.6,0.0,58.9,68.4
2019-01-03,11.4,0.5,5.9,3.0,92.3,58.3
2019-01-04,13.1,-1.2,6.0,0.0,59.9,65.8
2019-01-05,9.7,1.0,5.3,0.0,56.1,50.0
2019-01-06,9.7,0.2,4.9,0.0,73.1,59.2
2019-01-07,13.3,-1.1,6.1,0.0,55.1,50.0
2019-01-08,11.8,1.2,6.5,0.0,45.9,91.9
2019-01-09,9.3,3.9,6.6,13.3,74.8,50.0
2019-01-10,11.4,-0.1,5.6,0.0,66.2,88.3
2019-01-11,9.4,1.8,5.6,0.0,73.9,50.0
2019-01-12,9.5,-2.2,3.6,0.0,61.1,61.8
2019-01-13,10.9,-1.5,4.7,0.0,73.2,50.0
2019-01-14,6.7,1.4,4.0,0.0,46.4,50.0
2019-01-15,7.1,3.5,5.3,0.0,55.6,50.0
2019-01-16,9.5,1.3,5.4,0.0,57.1,50.0
2019-01-17,8.6,0.0,4.3,11.9,78.9,50.1
2019-01-18,11.3,0.7,6.0,0.0,60.8,67.1
2019-01-19,9.0,-1.7,3.6,0.0,66.9,92.0
2019-01-20,8.0,2.1,5.0,0.0,55.6,50.0
2019-01-21,13.9,2.7,8.3,0.0,61.4,50.0
2019-01-22,10.5,0.1,5.3,17.3,79.5,50.0
2019-01-23,11.2,0.1,5.7,0.0,50.7,80.4
2019-01-24,8.3,1.7,5.0,0.0,58.9,108.7
2019-01-25,10.1,0.4,5.2,10.5,78.6,106.4
2019-01-26,11.5,1.2,6.4,0.0,58.3,91.0
2019-01-27,9.1,5.6,7.3,0.0,60.3,90.2
2019-01-28,12.2,1.0,6.6,0.0,60.8,123.3
2019-01-29,10.4,0.9,5.6,4.5,75.7,83.7
2019-01-30,11.1,0.4,5.7,0.0,72.7,94.5
2019-01-31,10.6,3.3,6.9,0.0,48.3,67.0
2019-02-01,15.6,1.5,8.5,0.0,52.8,50.0
2019-02-02,11.9,0.7,6.3,5.6,100.0,59.1
2019-02-03,10.0,4.7,7.3,0.0,49.6,80.9
2019-02-04,13.8,5.0,9.4,0.0,46.5,84.6
2019-02-05,9.8,1.1,5.5,0.0,67.3,142.2
2019-02-06,12.8,-1.3,5.7,0.0,39.2,88.5
2019-02-07,8.6,4.5,6.6,0.0,57.6,123.1
2019-02-08,10.0,1.3,5.6,36.0,100.0,76.4
2019-02-09,13.1,4.3,8.7,0.0,44.6,81.9
2019-02-10,14.3,-1.1,6.6,0.0,40.2,53.1
2019-02-11,13.3,4.8,9.1,0.0,45.0,72.6
2019-02-12,12.9,0.7,6.8,0.0,69.0,112.5
2019-02-13,12.6,4.7,8.7,0.0,71.2,98.8
2019-02-14,10.4,3.4,6.9,0.0,54.9,128.8
2019-02-15,12.1,1.6,6.8,0.0,66.8,107.9
2019-02-16,12.7,2.8,7.8,0.0,73.9,93.8
2019-02-17,15.9,5.1,10.5,10.7,97.9,170.9
2019-02-18,14.6,4.1,9.3,9.1,77.5,105.6
2019-02-19,10.5,5.2,7.9,0.0,37.0,145.4
2019-02-20,14.8,8.1,11.5,0.0,51.8,100.6
2019-02-21,13.5,1.2,7.4,0.0,55.7,136.0
2019-02-22,13.1,7.7,10.4,0.0,57.4,144.7
2019-02-23,15.8,4.8,10.3,11.1,78.1,125.3
2019-02-24,16.8,2.9,9.9,0.0,71.2,50.6
2019-02-25,16.8,2.2,9.5,0.0,72.7,123.9
2019-02-26,13.4,4.7,9.0,0.0,58.3,162.5
2019-02-27,14.6,7.0,10.8,0.0,71.0,143.7
2019-02-28,16.0,5.1,10.5,0.0,63.6,143.5
2019-03-01,17.4,8.5,13.0,0.0,60.6,80.8
2019-03-02,14.7,2.7,8.7,0.0,69.1,113.2
2019-03-03,15.4,5.8,10.6,0.0,60.7,149.4
2019-03-04,13.8,3.5,8.6,24.2,100.0,151.8
2019-03-05,13.7,6.8,10.3,0.0,45.6,178.3
2019-03-06,17.9,8.1,13.0,0.0,54.8,139.9
2019-03-07,19.2,5.6,12.4,18.6,78.7,158.8
2019-03-08,16.5,1.4,8.9,0.0,64.4,149.5
2019-03-09,18.8,7.2,13.0,0.0,72.7,121.9
2019-03-10,17.7,7.8,12.7,0.0,59.8,86.3
2019-03-11,15.8,7.9,11.9,14.1,65.8,169.3
2019-03-12,18.0,9.7,13.9,0.0,68.4,164.1
2019-03-13,20.5,5.3,12.9,0.0,67.5,142.8
2019-03-14,17.5,9.0,13.2,0.0,40.6,115.3
2019-03-15,20.9,10.1,15.5,0.0,60.0,185.3
2019-03-16,12.7,4.4,8.5,8.9,64.1,160.9
2019-03-17,19.7,8.7,14.2,0.0,53.4,188.1
2019-03-18,18.4,7.3,12.8,0.5,71.0,229.9
2019-03-19,17.8,8.3,13.1,0.0,68.1,112.3
2019-03-20,18.8,9.3,14.0,0.0,61.2,158.1
2019-03-21,14.8,7.8,11.3,0.0,47.1,175.3
2019-03-22,18.5,7.6,13.1,0.0,68.8,227.8
2019-03-23,19.8,9.2,14.5,0.0,45.7,137.7
2019-03-24,22.2,7.1,14.7,0.0,63.3,247.4
2019-03-25,18.4,7.3,12.9,13.3,71.9,196.0
2019-03-26,18.0,11.0,14.5,0.0,56.3,191.6
2019-03-27,18.8,7.5,13.2,0.0,65.0,191.1
2019-03-28,21.8,11.3,16.6,0.0,65.2,186.6
2019-03-29,20.8,11.1,15.9,0.0,73.4,233.7
2019-03-30,19.3,6.9,13.1,0.0,59.2,172.8
2019-03-31,21.5,9.1,15.3,0.0,63.1,217.8
2019-04-01,20.9,13.1,17.0,0.0,55.6,198.4
2019-04-02,22.8,8.9,15.8,0.0,61.8,189.7
