data,talhao_id,ndvi
2019-01-01,1,0.226
2019-01-02,1,0.222
2019-01-03,1,0.205
2019-01-04,1,0.222
2019-01-05,1,0.217
2019-01-06,1,0.2
2019-01-07,1,0.228
2019-01-08,1,0.222
2019-01-09,1,0.226
2019-01-10,1,0.223
2019-01-11,1,0.212
2019-01-12,1,0.228
2019-01-13,1,0.231
2019-01-14,1,0.216
2019-01-15,1,0.238
2019-01-16,1,0.213
2019-01-17,1,0.211
2019-01-18,1,0.248
2019-01-19,1,0.231
2019-01-20,1,0.235
2019-01-21,1,0.226
2019-01-22,1,0.232
2019-01-23,1,0.268
2019-01-24,1,0.243
2019-01-25,1,0.283
2019-01-26,1,0.272
2019-01-27,1,0.257
2019-01-28,1,0.247
2019-01-29,1,0.256
2019-01-30,1,0.25
2019-01-31,1,0.293
2019-02-01,1,0.268
2019-02-02,1,0.283
2019-02-03,1,0.251
2019-02-04,1,0.271
2019-02-05,1,0.284
2019-02-06,1,0.264
2019-02-07,1,0.282
2019-02-08,1,0.273
2019-02-09,1,0.27
2019-02-10,1,0.295
2019-02-11,1,0.284
2019-02-12,1,0.299
2019-02-13,1,0.261
2019-02-14,1,0.301
2019-02-15,1,0.328
2019-02-16,1,0.28
2019-02-17,1,0.29
2019-02-18,1,0.301
2019-02-19,1,0.271
2019-02-20,1,0.306
2019-02-21,1,0.261
2019-02-22,1,0.278
2019-02-23,1,0.313
2019-02-24,1,0.275
2019-02-25,1,0.293
2019-02-26,1,0.301
2019-02-27,1,0.291
2019-02-28,1,0.264
2019-03-01,1,0.279
2019-03-02,1,0.312
2019-03-03,1,0.256
2019-03-04,1,0.299
2019-03-05,1,0.295
2019-03-06,1,0.306
2019-03-07,1,0.325
2019-03-08,1,0.34
2019-03-09,1,0.311
2019-03-10,1,0.303
2019-03-11,1,0.313
2019-03-12,1,0.314
2019-03-13,1,0.299
2019-03-14,1,0.294
2019-03-15,1,0.293
2019-03-16,1,0.308
2019-03-17,1,0.327
2019-03-18,1,0.336
2019-03-19,1,0.32
2019-03-20,1,0.299
2019-03-21,1,0.337
2019-03-22,1,0.334
2019-03-23,1,0.306
2019-03-24,1,0.301
2019-03-25,1,0.32
2019-03-26,1,0.34
2019-03-27,1,0.327
2019-03-28,1,0.333
2019-03-29,1,0.323
2019-03-30,1,0.336
2019-03-31,1,0.357
2019-04-01,1,0.33
2019-04-02,1,0.339
2019-04-03,1,0.317
2019-04-04,1,0.32
2019-04-05,1,0.296
2019-04-06,1,0.272
2019-04-07,1,0.287
2019-04-08,1,0.308
2019-04-09,1,0.317
2019-04-10,1,0.288
2019-04-11,1,0.319
2019-04-12,1,0.299
2019-04-13,1,0.305
2019-04-14,1,0.305
2019-04-15,1,0.319
2019-04-16,1,0.332
2019-04-17,1,0.334
2019-04-18,1,0.312
2019-04-19,1,0.356
2019-04-20,1,0.316
2019-04-21,1,0.351
2019-04-22,1,0.349
2019-04-23,1,0.339
2019-04-24,1,0.343
2019-04-25,1,0.336
2019-04-26,1,0.355
2019-04-27,1,0.365
2019-04-28,1,0.389
2019-04-29,1,0.372
2019-04-30,1,0.36
2019-05-01,1,0.369
2019-05-02,1,0.384
2019-05-03,1,0.388
2019-05-04,1,0.419
2019-05-05,1,0.423
2019-05-06,1,0.394
2019-05-07,1,0.395
2019-05-08,1,0.359
2019-05-09,1,0.405
2019-05-10,1,0.401
2019-05-11,1,0.42
2019-05-12,1,0.441
2019-05-13,1,0.442
2019-05-14,1,0.443
2019-05-15,1,0.429
2019-05-16,1,0.427
2019-05-17,1,0.439
2019-05-18,1,0.369
2019-05-19,1,0.439
2019-05-20,1,0.448
2019-05-21,1,0.432
2019-05-22,1,0.44
2019-05-23,1,0.465
2019-05-24,1,0.441
2019-05-25,1,0.51
2019-05-26,1,0.48
2019-05-27,1,0.468
2019-05-28,1,0.468
2019-05-29,1,0.476
2019-05-30,1,0.46
2019-05-31,1,0.485
2019-06-01,1,0.498
2019-06-02,1,0.51
2019-06-03,1,0.515
2019-06-04,1,0.497
2019-06-05,1,0.472
2019-06-06,1,0.495
2019-06-07,1,0.558
2019-06-08,1,0.543
2019-06-09,1,0.533
2019-06-10,1,0.507
2019-06-11,1,0.53
2019-06-12,1,0.5
2019-06-13,1,0.521
2019-06-14,1,0.532
2019-06-15,1,0.532
2019-06-16,1,0.57
2019-06-17,1,0.508
2019-06-18,1,0.525
2019-06-19,1,0.513
2019-06-20,1,0.518
2019-06-21,1,0.557
2019-06-22,1,0.524
2019-06-23,1,0.593
2019-06-24,1,0.565
2019-06-25,1,0.575
2019-06-26,1,0.583
2019-06-27,1,0.562
2019-06-28,1,0.604
2019-06-29,1,0.569
2019-06-30,1,0.592
2019-07-01,1,0.569
2019-07-02,1,0.582
2019-07-03,1,0.581
2019-07-04,1,0.579
2019-07-05,1,0.543
2019-07-06,1,0.582
2019-07-07,1,0.559
2019-07-08,1,0.585
2019-07-09,1,0.504
2019-07-10,1,0.522
2019-07-11,1,0.571
2019-07-12,1,0.61
2019-07-13,1,0.579
2019-07-14,1,0.534
2019-07-15,1,0.503
2019-07-16,1,0.567
2019-07-17,1,0.542
2019-07-18,1,0.556
2019-07-19,1,0.54
